step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.591754645940458e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,6.927304242314349e-26,1.0442316526945268e-25,6.493446171053029e-25,8.23040824797899e-25,1.7554176374057935e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,2.262397933328002e-13,3.1621470912756643e-13,0.0,2.689791423631124e-13,3.7986421701548583e-13,0.0,1.9791122851325177e-10,2.7973651324627597e-10,0.0,2.2061989357320514e-10,3.119576868040886e-10,0.0,2.812403733108869e-10,3.9773228021036485e-10,6.927188884386701e-26,1.958442718581228e-20,2.4336568720126185e-20,4.3921065177827305e-20,8.961359374456618e-20,0.0,0.0,2.797642448388345e-19,2.797642448388345e-19,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,1.3054875482446026e-13,1.845230457221468e-13,0.0,4.570680209598784e-13,6.381681022282865e-13,0.0,1.7311767026504896e-10,2.4471183437086223e-10,0.0,6.22301093332554e-11,8.796553522946834e-11,0.0,5.194034903429848e-10,7.341994167766839e-10,6.927077133226198e-26,1.4984863878999108e-20,1.9362932538144596e-21,1.69212264035849e-20,9.169811581812762e-20,0.0,0.0,6.888719746079229e-21,6.888719746079229e-21,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,2.2528287766269805e-13,3.150095116582166e-13,0.0,2.7215615240386554e-13,3.841842020528137e-13,0.0,4.72092746091238e-11,6.670722268003636e-11,0.0,1.6933525864423132e-10,2.394578016882812e-10,0.0,6.78976802926234e-10,9.599446904726238e-10,6.926961779080516e-26,1.1143578045598301e-21,1.4337214910054353e-20,1.5451641984231974e-20,1.5426142160050737e-19,0.0,0.0,1.9536314839743243e-19,1.9536314839743243e-19,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,1.3214011667252544e-13,1.8671603799724253e-13,0.0,4.552251745306217e-13,6.358685137832692e-13,0.0,2.1144907643816596e-10,2.988756329177871e-10,0.0,1.978840407474984e-10,2.7965029500871443e-10,0.0,6.9045576264084665e-12,9.66648550178558e-12,6.926850031583738e-26,2.235535596327667e-20,1.9579046791278797e-20,4.193447202305578e-20,6.152639050165901e-20,0.0,0.0,-2.98991927704902e-19,-2.98991927704902e-19,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,2.2431178454889148e-13,3.1378208467077245e-13,0.0,2.7532940362184904e-13,3.884768862508552e-13,0.0,1.4027768851466106e-10,1.982957693177467e-10,0.0,1.8433602044506878e-10,2.571060628122544e-10,0.0,2.792663230248953e-10,3.9488047716972047e-10,6.926734681219907e-26,9.838914947508134e-21,1.698988421676241e-20,2.6828868431617355e-20,6.487596602585795e-20,0.0,0.0,1.0421707075035446e-20,1.0421707075035446e-20,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,1.337305948350018e-13,1.8889575882190284e-13,0.0,4.5335353700591756e-13,6.335240491501217e-13,0.0,8.502915381386163e-11,1.2016772762348575e-10,0.0,3.0289448269715337e-10,4.2800338300133136e-10,0.0,5.257417142004594e-10,7.429463005472295e-10,6.926622937386737e-26,3.614978499150668e-21,4.587253382418806e-20,4.9487581589568104e-20,1.6998928992737423e-19,0.0,0.0,3.3908157329695503e-19,3.3908157329695503e-19,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,2.2895399943069813e-13,3.196049311570339e-13,0.0,2.5957795051390824e-13,3.66942943671128e-13,0.0,2.1801669003190948e-10,3.081625307666132e-10,0.0,2.843036555284541e-10,3.9522559229546905e-10,0.0,6.871919182715123e-10,9.716569332434185e-10,6.926511195356234e-26,2.3765638566234848e-20,4.0414284273420933e-20,6.417999210476774e-20,2.320971141633625e-19,0.0,0.0,2.0022526440023328e-19,2.0022526440023328e-19,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,1.3531977631138835e-13,1.9106205453978946e-13,0.0,4.5145328283393827e-13,6.311348755377953e-13,0.0,1.0764273299832921e-10,1.521683262063547e-10,0.0,2.9692754383767977e-10,4.194725303022576e-10,0.0,1.4504891172846334e-11,2.0132831443997755e-11,6.926395850634917e-26,5.7934789836747934e-21,4.40829831447386e-20,4.98765313923719e-20,9.401632034145326e-20,0.0,0.0,-4.3126690860771746e-19,-4.3126690860771746e-19,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,2.2803946486593395e-13,3.184658422684982e-13,0.0,2.6276105941586404e-13,3.7134117101350874e-13,0.0,1.2004634493545235e-10,1.6966642932170971e-10,0.0,3.874076022939531e-10,5.472981766271226e-10,0.0,2.830763859212416e-10,4.0030628140508953e-10,6.926284112267831e-26,7.205562466180803e-21,7.504232515757488e-20,8.224795688659681e-20,1.7892598691605422e-19,0.0,0.0,2.736698890338227e-19,2.736698890338227e-19,0.0,0.0,0.0,0.0,0.0,0.0
