2026-05-22T10:57:57+12:00 run start {'title': 'Inhomogeneous rmhd simulation test', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input', 'output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_04', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'hostname': 'Naoki', 'python_executable': 'C:\\Users\\naoki\\AppData\\Local\\Programs\\Python\\Python313\\python.exe', 'git_commit': '55f5340485b9b2ef64df3d654ebb18505fd4615d', 'command': "'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\run.py' 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input' --output-dir 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_04' --mode-kx 3 --mode-ky 2 --mode-kz 4"}
2026-05-22T10:57:57+12:00 run setup {'resolved_output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_04', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'dissipation_mode': 'manual', 'initial_condition': {'type': 'single_fourier_mode', 'parameters': {'k_indices': [3, 2, 4], 'amplitude': 1e-12, 'seed': 0}}}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 0, 'time': 0.0, 'dt': 0.0, 'total_energy': 2.0091621073352015e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 4, 'time': 0.4, 'dt': 0.1, 'total_energy': 2.504416051972715e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 7, 'time': 0.7, 'dt': 0.1, 'total_energy': 2.9928955003842285e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 10, 'time': 0.9999999999999999, 'dt': 0.1, 'total_energy': 8.155898907719648e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 13, 'time': 1.3, 'dt': 0.1, 'total_energy': 2.5368646395980325e-23}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 16, 'time': 1.6000000000000003, 'dt': 0.1, 'total_energy': 4.8466020759860684e-23}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 19, 'time': 1.9000000000000006, 'dt': 0.1, 'total_energy': 5.404736685455402e-23}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 22, 'time': 2.2000000000000006, 'dt': 0.1, 'total_energy': 3.299529018752149e-23}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 26, 'time': 2.600000000000001, 'dt': 0.1, 'total_energy': 6.2061402472686676e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 29, 'time': 2.9000000000000012, 'dt': 0.1, 'total_energy': 8.625213623370119e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 32, 'time': 3.2000000000000015, 'dt': 0.1, 'total_energy': 1.3228594079989524e-23}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 35, 'time': 3.5000000000000018, 'dt': 0.1, 'total_energy': 8.125322168691475e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 38, 'time': 3.800000000000002, 'dt': 0.1, 'total_energy': 1.861893455404516e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 41, 'time': 4.100000000000001, 'dt': 0.1, 'total_energy': 1.7923593033044625e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 44, 'time': 4.4, 'dt': 0.1, 'total_energy': 5.2994697029065246e-24}
2026-05-22T10:57:57+12:00 scalar diagnostics {'step': 48, 'time': 4.799999999999999, 'dt': 0.1, 'total_energy': 1.3281894775726733e-23}
